show_id,title,movie_duration(min),tv_show_duration(temp)
s329,Boyka: Undisputed,90.0,
s330,Catch Me If You Can,142.0,
s331,Cloudy with a Chance of Meatballs,90.0,
s332,Darwin’s Game,,1.0
s333,Deep Blue Sea,105.0,
s334,Ferris Bueller's Day Off,103.0,
s335,Five Feet Apart,116.0,
s336,Freedomland,113.0,
s337,Friday Night Lights,,5.0
s338,Good Luck Chuck,99.0,
s339,Hunter X Hunter (2011),,6.0
s340,I missed you: Director's Cut,96.0,
s341,Inception,148.0,
s342,Magnolia,189.0,
s343,Major Payne,97.0,
s344,My Girl,102.0,
s345,My Girl 2,99.0,
s346,Open Season: Scared Silly,85.0,
s347,Pineapple Express,112.0,
s348,Planet 51,91.0,
s349,Poms,91.0,
s350,Seabiscuit,141.0,
s351,Space Cowboys,130.0,
s352,Team America: World Police,98.0,
s353,The Edge of Seventeen,105.0,
s354,The Haunting in Connecticut 2: Ghosts of Georgia,101.0,
s355,The Last Boy Scout,105.0,
s356,The Lincoln Lawyer,118.0,
s357,The Losers,97.0,
s358,The Machinist,102.0,
s359,The Net,114.0,
s360,The Original Kings of Comedy,111.0,
s361,Valentine's Day,125.0,
s362,Charmed,,3.0
s363,The Lost Café,76.0,
s364,The Vault,118.0,
s365,Centaurworld,,1.0
s366,Eyes of a Thief,103.0,
s367,Glow Up,,3.0
s368,I'm Glad I Did,114.0,
s369,Khawatir,,1.0
s370,Myth & Mogul: John DeLorean,,1.0
s371,Outer Banks,,2.0
s372,Pomegranates and Myrrh,95.0,
s373,Rurouni Kenshin: The Beginning,138.0,
s374,The Last Mercenary,112.0,
s375,Flower Girl,94.0,
s376,Resort to Love,102.0,
s377,Transformers: War for Cybertron: Kingdom,,1.0
s378,Bartkowiak,92.0,
s379,Fantastic Fungi,81.0,
s380,Tattoo Redo,,1.0
s381,The Flash,,7.0
s382,The Snitch Cartel: Origins,,1.0
s383,All American,,3.0
s384,Department,143.0,
s385,Hostage House,86.0,
s386,How to Sell Drugs Online (Fast),,3.0
s387,Mighty Express,,4.0
s388,Mimi,132.0,
s389,Plastic Cup Boyz: Laughing My Mask Off!,,1.0
s390,The Operative,117.0,
s391,The Walking Dead,,10.0
s392,Wynonna Earp,,4.0
s393,Django Unchained,165.0,
s394,A Second Chance:  Rivals!,91.0,
s395,African America,97.0,
s396,Bankrolled,97.0,
s397,Blood Red Sky,123.0,
s398,Feels Like Ishq,,1.0
s399,Kingdom: Ashin of the North,94.0,
s400,Masters of the Universe: Revelation,,1.0
s401,Revelations: The Masters of the Universe: Revelation Aftershow,,1.0
s402,Sky Rojo,,2.0
s403,The Last Letter From Your Lover,111.0,
s404,The Movies That Made Us,,2.0
s405,9to5: The Story of a Movement,85.0,
s406,Chhota Bheem - Dinosaur World,65.0,
s407,Chhota Bheem - Neeli Pahaadi,64.0,
s408,Chhota Bheem & Ganesh,68.0,
s409,Chhota Bheem & Krishna: Mayanagari,67.0,
s410,Chhota Bheem & Krishna: Pataliputra- City of the Dead,66.0,
s411,Chhota Bheem And The Broken Amulet,64.0,
s412,Chhota Bheem And The Crown of Valhalla,64.0,
s413,Chhota Bheem and the Incan Adventure,65.0,
s414,Chhota Bheem and The ShiNobi Secret,64.0,
s415,Chhota Bheem Aur Hanuman,68.0,
s416,Chhota Bheem aur Krishna,68.0,
s417,Chhota Bheem aur Krishna vs Zimbara,64.0,
s418,Chhota Bheem in African Safari,62.0,
s419,Chhota Bheem Ka Roosi Romanch,63.0,
s420,Chhota Bheem: Bheem vs Aliens,69.0,
s421,Chhota Bheem: Dholakpur to Kathmandu,70.0,
s422,Chhota Bheem: Dus Pe Dus,63.0,
s423,Chhota Bheem: Journey to Petra,68.0,
s424,Chhota Bheem: Master of Shaolin,74.0,
s425,Chhota Bheem: The Rise of Kirmada,68.0,
s426,Chicago Med,,5.0
s427,Cousins,99.0,
s428,Wannabe Courageous,90.0,
s429,Words Bubble Up Like Soda Pop,87.0,
s430,Sanitation Day,105.0,
s431,Sexy Beasts,,1.0
s432,Too Hot to Handle: Brazil,,1.0
s433,Trollhunters: Rise of the Titans,106.0,
s434,Milkwater,102.0,
s435,Okupas,,1.0
s436,Touch Your Heart,,1.0
s437,The Tambour of Retribution,91.0,
s438,Cosmic Sin,88.0,
s439,2 Weeks in Lagos,107.0,
s440,Deep,101.0,
s441,Explained,,3.0
s442,Fear Street Part 3: 1666,114.0,
s443,Johnny Test,,1.0
s444,La ley de Herodes,123.0,
s445,Naomi Osaka,,1.0
s446,The Beguiled,94.0,
s447,The Book of Henry,105.0,
s448,The Twilight Saga: Breaking Dawn: Part 1,117.0,
s449,The Twilight Saga: Breaking Dawn: Part 2,115.0,
s450,The Twilight Saga: Eclipse,124.0,
s451,The Twilight Saga: New Moon,131.0,
s452,Twilight,122.0,
s453,A Perfect Fit,113.0,
s454,BEASTARS,,2.0
s455,Cheech & Chong's Still Smokin,91.0,
s456,Emicida: AmarElo - Live in São Paulo,100.0,
s457,Her Private Life,,1.0
s458,Lift Like a Girl,93.0,
s459,My Amanda,90.0,
s460,Never Have I Ever,,2.0
s461,Surf's Up,86.0,
s462,The Unknown Saint,100.0,
s463,This Changes Everything,96.0,
s464,A Classic Horror Story,95.0,
s465,Gunpowder Milkshake,115.0,
s466,Heist,,1.0
s467,My Unorthodox Life,,1.0
s468,Private Network: Who Killed Manuel Buendía?,100.0,
s469,The Guide to the Perfect Family,102.0,
s470,American Woman,87.0,
s471,Bridgerton - The Afterparty,39.0,
s472,Day of Destiny,110.0,
s473,Ridley Jones,,1.0
s474,Born to Play,93.0,
s475,American Ultra,96.0,
s476,The Stand-Up,93.0,
s477,The Tour,93.0,
s478,Atypical,,4.0
s479,Biohackers,,2.0
s480,Fear Street Part 2: 1978,111.0,
s481,Finding Hubby,105.0,
s482,How I Became a Superhero,101.0,
s483,How to Become a Tyrant,,1.0
s484,Last Summer,102.0,
s485,Lee Su-geun: The Sense Coach,46.0,
s486,Lethal Love,89.0,
